epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,320.573,0.69947,0.55333,0.93629,0.31516,0.09496,0.1986,0.15192,1.3326,7.27918,1.38732,0.0217328,0.00673285,0.00673285
44,326.341,0.713,0.56535,0.9125,0.25148,0.28161,0.30791,0.21046,1.4223,7.58757,1.40584,0.0198482,0.0068482,0.0068482
45,332.349,0.70649,0.55144,0.91202,0.33278,0.55516,0.52568,0.38103,1.17908,3.94176,1.28272,0.0179616,0.00696158,0.00696158
46,338.701,0.67529,0.53518,0.89479,0.68867,0.48963,0.63647,0.47718,0.96978,2.5118,1.12691,0.016073,0.00707298,0.00707298
47,345.452,0.65444,0.50201,0.89442,0.54651,0.59366,0.65897,0.50029,1.01508,2.5413,1.12019,0.0141824,0.00718239,0.00718239
48,351.873,0.75083,0.54951,0.93302,0.52959,0.50964,0.63149,0.49255,0.96516,2.7052,1.11933,0.0122898,0.00728983,0.00728983
49,358.588,0.67505,0.5338,0.91272,0.5456,0.50115,0.59884,0.48069,0.93576,2.50854,1.07616,0.0103953,0.00739528,0.00739528
50,365.188,0.69546,0.53008,0.892,0.56659,0.62732,0.67061,0.52938,0.88864,2.33568,1.05555,0.00849875,0.00749876,0.00749876
51,371.854,0.64633,0.50993,0.90139,0.59702,0.76119,0.78365,0.63561,0.8119,1.92926,1.00439,0.007525,0.007525,0.007525
52,378.16,0.61342,0.49444,0.88211,0.77708,0.63606,0.84546,0.69179,0.76342,1.69734,0.96107,0.0074755,0.0074755,0.0074755
53,384.551,0.62401,0.48127,0.89713,0.72868,0.67882,0.86084,0.71033,0.76908,1.80065,0.97396,0.007426,0.007426,0.007426
54,390.225,0.65472,0.50126,0.89455,0.72123,0.68384,0.8623,0.70529,0.7828,1.73067,0.97555,0.0073765,0.0073765,0.0073765
55,396.221,0.64348,0.5135,0.87601,0.71057,0.68366,0.83545,0.69483,0.80592,1.88942,0.99158,0.007327,0.007327,0.007327
56,402.073,0.65004,0.49894,0.88489,0.65086,0.79005,0.85426,0.69714,0.7832,1.58301,0.99268,0.0072775,0.0072775,0.0072775
57,408.312,0.60634,0.46875,0.87083,0.67753,0.79091,0.91624,0.74877,0.74798,1.22633,0.98665,0.007228,0.007228,0.007228
58,413.994,0.63071,0.49143,0.89104,0.64244,0.80028,0.90395,0.75562,0.72904,1.23211,0.96341,0.0071785,0.0071785,0.0071785
59,419.6,0.59106,0.44961,0.8923,0.73395,0.75232,0.89543,0.73972,0.76336,1.39849,0.97441,0.007129,0.007129,0.007129
60,425.79,0.6218,0.46898,0.89291,0.73748,0.65382,0.81641,0.68398,0.76853,1.82952,0.96818,0.0070795,0.0070795,0.0070795
61,432.542,0.61322,0.48703,0.88016,0.78951,0.65423,0.84169,0.70382,0.74712,1.68598,0.9782,0.00703,0.00703,0.00703
62,438.992,0.62662,0.46893,0.87139,0.79563,0.65955,0.80013,0.66705,0.73933,1.48267,0.98799,0.0069805,0.0069805,0.0069805
63,445.321,0.59715,0.47073,0.8829,0.72216,0.62183,0.77266,0.63282,0.74609,1.3661,0.99757,0.006931,0.006931,0.006931
64,451.31,0.60502,0.4734,0.90161,0.74617,0.65686,0.78729,0.66271,0.70535,1.36905,0.97963,0.0068815,0.0068815,0.0068815
65,457.808,0.61481,0.4585,0.86475,0.67686,0.69694,0.74875,0.60805,0.73113,1.3802,1.01582,0.006832,0.006832,0.006832
66,464.039,0.60276,0.46035,0.90058,0.63779,0.65399,0.78458,0.64537,0.71475,1.23977,0.98606,0.0067825,0.0067825,0.0067825
67,470.588,0.59027,0.45397,0.87586,0.69164,0.84287,0.91189,0.74424,0.74767,0.98217,1.00487,0.006733,0.006733,0.006733
68,477.435,0.61301,0.44495,0.88772,0.82321,0.7837,0.93222,0.77707,0.75345,0.93088,1.03805,0.0066835,0.0066835,0.0066835
69,484.069,0.58991,0.44147,0.87196,0.77234,0.80518,0.8833,0.72151,0.74258,0.9411,1.0435,0.006634,0.006634,0.006634
70,490.357,0.5809,0.44476,0.86621,0.66725,0.86688,0.83364,0.68324,0.72641,0.97919,1.02062,0.0065845,0.0065845,0.0065845
71,497.185,0.61766,0.44961,0.86156,0.79321,0.82422,0.92018,0.77738,0.67969,1.16069,0.9659,0.006535,0.006535,0.006535
72,504.431,0.58425,0.42548,0.87714,0.8147,0.86557,0.95343,0.8273,0.64685,1.06697,0.92212,0.0064855,0.0064855,0.0064855
73,510.901,0.60886,0.43628,0.86572,0.79262,0.91702,0.96984,0.83244,0.66632,0.9139,0.93589,0.006436,0.006436,0.006436
74,517.24,0.56373,0.43777,0.8799,0.88225,0.89887,0.96471,0.82321,0.67943,0.85638,0.9595,0.0063865,0.0063865,0.0063865
75,524.954,0.58265,0.42092,0.85672,0.89604,0.92351,0.96127,0.80124,0.73428,0.6773,0.99015,0.006337,0.006337,0.006337
76,531.766,0.5939,0.42559,0.88681,0.89442,0.92029,0.94795,0.80378,0.6775,0.64023,0.95005,0.0062875,0.0062875,0.0062875
77,539.031,0.57532,0.4092,0.85167,0.90575,0.93362,0.95525,0.83345,0.59282,0.61748,0.90195,0.006238,0.006238,0.006238
78,544.429,0.58127,0.42872,0.87251,0.88271,0.93716,0.97124,0.85775,0.56255,0.67584,0.88222,0.0061885,0.0061885,0.0061885
79,550.902,0.57775,0.41869,0.89177,0.89438,0.92291,0.98161,0.84112,0.60886,0.84634,0.90009,0.006139,0.006139,0.006139
80,557.961,0.57704,0.42072,0.89622,0.84591,0.91345,0.96148,0.82582,0.62347,0.98641,0.90459,0.0060895,0.0060895,0.0060895
81,564.77,0.57937,0.43863,0.88668,0.84194,0.88483,0.95555,0.81677,0.60285,0.89492,0.89428,0.00604,0.00604,0.00604
82,571.583,0.57428,0.41482,0.85828,0.80976,0.95234,0.94615,0.82898,0.5737,0.81983,0.87766,0.0059905,0.0059905,0.0059905
83,578.389,0.55496,0.42007,0.86793,0.81736,0.89499,0.93334,0.8161,0.57958,0.93607,0.88003,0.005941,0.005941,0.005941
84,585.646,0.52936,0.39843,0.86179,0.76786,0.85758,0.92654,0.80069,0.6141,1.06291,0.89344,0.0058915,0.0058915,0.0058915
85,592.614,0.52273,0.3918,0.87819,0.78963,0.89459,0.95079,0.83417,0.61365,1.07733,0.89335,0.005842,0.005842,0.005842
86,599.377,0.5578,0.40826,0.87216,0.79987,0.89775,0.97334,0.8564,0.5993,1.07796,0.8799,0.0057925,0.0057925,0.0057925
87,606.504,0.53626,0.38246,0.85201,0.86087,0.86678,0.98764,0.85616,0.5945,0.985,0.87434,0.005743,0.005743,0.005743
88,613.91,0.53775,0.3906,0.87499,0.86641,0.91895,0.99365,0.86453,0.58603,0.86197,0.87914,0.0056935,0.0056935,0.0056935
89,620.696,0.54872,0.39257,0.8733,0.88474,0.96644,0.99391,0.85993,0.583,0.82159,0.88677,0.005644,0.005644,0.005644
90,627.379,0.55564,0.39666,0.87103,0.94059,0.96775,0.9934,0.86225,0.57583,0.74632,0.87587,0.0055945,0.0055945,0.0055945
91,634.423,0.53947,0.39357,0.85586,0.92143,0.96217,0.99307,0.87199,0.55905,0.67879,0.86918,0.005545,0.005545,0.005545
92,641.623,0.54968,0.39343,0.85898,0.90911,0.96863,0.99314,0.85823,0.57628,0.59806,0.87261,0.0054955,0.0054955,0.0054955
93,648.59,0.54777,0.39067,0.86167,0.90123,0.95204,0.99329,0.86589,0.56815,0.56327,0.86506,0.005446,0.005446,0.005446
94,655.285,0.53855,0.39077,0.85811,0.88417,0.94931,0.99226,0.86987,0.56438,0.54703,0.8611,0.0053965,0.0053965,0.0053965
95,662.369,0.52526,0.37512,0.84966,0.88116,0.95963,0.98843,0.87336,0.56096,0.56971,0.86234,0.005347,0.005347,0.005347
96,669.216,0.54673,0.39319,0.85295,0.86574,0.98644,0.98985,0.88756,0.55402,0.56918,0.85715,0.0052975,0.0052975,0.0052975
97,674.937,0.52946,0.38683,0.85578,0.90329,0.96848,0.98572,0.88149,0.52416,0.54905,0.84914,0.005248,0.005248,0.005248
98,680.996,0.53195,0.38547,0.86339,0.90662,0.97492,0.98246,0.88219,0.52213,0.56841,0.84869,0.0051985,0.0051985,0.0051985
99,686.767,0.50807,0.36643,0.84365,0.88018,0.97092,0.96253,0.85788,0.53301,0.56409,0.85439,0.005149,0.005149,0.005149
100,693.169,0.5173,0.37058,0.85701,0.87351,0.96687,0.98065,0.87635,0.54443,0.54191,0.85849,0.0050995,0.0050995,0.0050995
101,700.031,0.52382,0.3732,0.85538,0.93247,0.97953,0.99017,0.88348,0.53566,0.47034,0.85293,0.00505,0.00505,0.00505
102,708.544,0.53126,0.3744,0.86109,0.96152,0.98313,0.99235,0.87798,0.53282,0.43538,0.85158,0.0050005,0.0050005,0.0050005
103,716.166,0.52628,0.382,0.85811,0.95926,0.9855,0.99325,0.87384,0.54858,0.42943,0.85747,0.004951,0.004951,0.004951
104,722.617,0.5304,0.3734,0.87002,0.96626,0.98652,0.99382,0.88697,0.52242,0.44114,0.85368,0.0049015,0.0049015,0.0049015
105,730.044,0.50291,0.37311,0.83783,0.97302,0.98849,0.99447,0.88917,0.51846,0.44573,0.85583,0.004852,0.004852,0.004852
106,737.114,0.52081,0.38561,0.87192,0.97263,0.99525,0.99433,0.89227,0.53817,0.42375,0.86551,0.0048025,0.0048025,0.0048025
107,744.051,0.54313,0.38389,0.89061,0.96538,0.99564,0.99422,0.88819,0.52347,0.429,0.85603,0.004753,0.004753,0.004753
108,750.866,0.50157,0.35019,0.85154,0.94377,0.99109,0.99389,0.89058,0.51101,0.45933,0.8498,0.0047035,0.0047035,0.0047035
109,757.657,0.53568,0.36989,0.86668,0.93899,0.98845,0.99397,0.89026,0.52359,0.48861,0.84893,0.004654,0.004654,0.004654
110,764.671,0.52054,0.36547,0.85458,0.97329,0.9763,0.99402,0.90281,0.5094,0.47579,0.84547,0.0046045,0.0046045,0.0046045
111,771.678,0.52525,0.37214,0.85337,0.96691,0.9907,0.99469,0.89929,0.50806,0.43739,0.84821,0.004555,0.004555,0.004555
112,778.472,0.53222,0.37337,0.85701,0.97145,0.98644,0.99469,0.90178,0.50628,0.42782,0.84373,0.0045055,0.0045055,0.0045055
113,785.916,0.53666,0.36273,0.85695,0.95374,0.99126,0.99419,0.90246,0.49732,0.42343,0.84095,0.004456,0.004456,0.004456
114,793.483,0.50453,0.36527,0.86664,0.95505,0.99251,0.9938,0.90271,0.47769,0.40692,0.83796,0.0044065,0.0044065,0.0044065
115,800.94,0.51398,0.35557,0.84035,0.9706,0.99018,0.99342,0.89524,0.49255,0.39384,0.84279,0.004357,0.004357,0.004357
116,818.516,0.51185,0.35187,0.84473,0.98139,0.99066,0.99386,0.89598,0.50024,0.40095,0.85007,0.0043075,0.0043075,0.0043075
117,827.986,0.49958,0.35539,0.87206,0.98116,0.98689,0.99443,0.9002,0.50296,0.40177,0.84745,0.004258,0.004258,0.004258
118,834.536,0.53891,0.36155,0.84822,0.98247,0.98836,0.99367,0.89656,0.51735,0.37389,0.84792,0.0042085,0.0042085,0.0042085
119,841.248,0.51734,0.3539,0.85189,0.97864,0.99267,0.99333,0.8838,0.54191,0.37659,0.85052,0.004159,0.004159,0.004159
120,848.525,0.5175,0.35584,0.85635,0.97927,0.99722,0.99352,0.88627,0.52355,0.38135,0.84679,0.0041095,0.0041095,0.0041095
