epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
187,1306.04,0.41872,0.28716,0.82816,0.97358,0.99739,0.995,0.92634,0.43034,0.27179,0.82439,0.000793,0.000793,0.000793
188,1313.29,0.41797,0.28798,0.83018,0.97305,0.99738,0.995,0.92442,0.43078,0.27536,0.8233,0.0007435,0.0007435,0.0007435
189,1321,0.41128,0.28253,0.82081,0.9773,0.99738,0.995,0.92686,0.42912,0.27725,0.82187,0.000694,0.000694,0.000694
190,1327.96,0.4096,0.27994,0.82096,0.97939,0.99737,0.995,0.92918,0.42442,0.27514,0.82043,0.0006445,0.0006445,0.0006445
191,1340.09,0.40025,0.29068,0.81775,0.97902,0.99738,0.995,0.93201,0.42075,0.27134,0.81932,0.000595,0.000595,0.000595
192,1345.56,0.38761,0.27663,0.81764,0.98092,0.99736,0.995,0.93127,0.41924,0.2687,0.8191,0.0005455,0.0005455,0.0005455
193,1350.19,0.39158,0.27598,0.83532,0.98247,0.99732,0.995,0.92967,0.41787,0.2665,0.81925,0.000496,0.000496,0.000496
194,1355.25,0.39416,0.27679,0.83164,0.98283,0.99731,0.995,0.93181,0.41744,0.26785,0.8191,0.0004465,0.0004465,0.0004465
195,1360.87,0.38133,0.27072,0.83226,0.98378,0.9973,0.995,0.93193,0.41581,0.26969,0.81891,0.000397,0.000397,0.000397
196,1365.45,0.39595,0.27506,0.82303,0.98396,0.99729,0.995,0.93318,0.41654,0.27176,0.81837,0.0003475,0.0003475,0.0003475
197,1370.14,0.38995,0.27272,0.82852,0.98387,0.99728,0.995,0.93205,0.41653,0.27284,0.81812,0.000298,0.000298,0.000298
198,1375.2,0.38868,0.26766,0.81911,0.98355,0.99728,0.995,0.92914,0.41872,0.27249,0.81826,0.0002485,0.0002485,0.0002485
199,1380.63,0.38731,0.2702,0.81122,0.9809,0.99728,0.995,0.93072,0.41927,0.27157,0.81805,0.000199,0.000199,0.000199
200,1385.89,0.38449,0.26391,0.82318,0.98041,0.99729,0.995,0.92987,0.41843,0.27004,0.81793,0.0001495,0.0001495,0.0001495
